,name,view,architecture,_runtime,_timestamp,valid_loss,lr_finder_lr,lr_0,wd_0,eps_0,sqr_mom_0,total_runtime,combined_bestf1_time,epoch,mom_0,_wandb,best_f1,accuracy,f1_score,raw_loss,image_size,train_loss,_step,combined_f1_time,train_samples_per_sec
20,earnest-sweep-12,encoded13,resnet18,114.42293763160706,1660562022.2851217,0.06137757748365402,0.0008317637839354575,1.0192577927069927e-08,0.01,1e-05,0.99,104.01667514489964,0.945026889670698,15,0.9499997745803708,{'runtime': 111},0.948494112175528,0.9844720363616944,0.9320024447434924,0.0008571120561100543,"[140, 170]",0.001250588335096836,1394,0.9285352222386624,2250.679630051217
21,still-sweep-11,encoded14,resnet18,106.19162917137146,1660561521.5793805,0.0652853474020958,0.0004786300996784121,5.865216403321775e-09,0.01,1e-05,0.99,98.39148729201406,0.965897870851634,15,0.9499997745803708,{'runtime': 105},0.9691775870947013,0.9852484464645386,0.9681026853562356,0.0004672428185585886,"[140, 170]",0.0007826224318705499,1394,0.9648229691131686,2269.071788899697
22,fresh-sweep-10,encoded234,resnet18,122.81892204284668,1660560988.696066,0.062233563512563705,0.0004786300996784121,5.865216403321775e-09,0.01,1e-05,0.99,114.14859710959718,0.9627493149149564,15,0.9499997745803708,{'runtime': 122},0.966554268151943,0.9813664555549622,0.9597667771138706,0.00014637658023275435,"[140, 170]",0.0004378624726086855,1394,0.955961823876884,2247.931850509169
23,dandy-sweep-9,encoded134,resnet18,139.89748454093933,1660560445.6513674,0.04925936087965965,0.0006918309954926372,8.477817224281092e-09,0.01,1e-05,0.99,130.71452190494165,0.9658216857003608,15,0.9499997745803708,{'runtime': 139},0.9701788364305256,0.9875776171684264,0.968950719350694,0.00072243413887918,"[140, 170]",0.0010947914561256766,1394,0.9645935686205293,2244.8161399589494
24,flowing-sweep-8,encoded123,resnet18,120.3384976387024,1660559886.0601847,0.049220092594623566,0.0006918309954926372,8.477817224281092e-09,0.01,1e-05,0.99,112.17719727894293,0.9727617096719836,15,0.9499997745803708,{'runtime': 119},0.976500949581282,0.9875776171684264,0.976500949581282,0.00037445619818754494,"[140, 170]",0.000885212211869657,1394,0.9727617096719836,2257.0471714462574
25,legendary-sweep-7,encoded124,resnet18,127.96706938743591,1660559313.1190484,0.07014857232570648,0.0005754399462603033,7.0515410840110365e-09,0.01,1e-05,0.99,119.71625350089744,0.964163202380942,15,0.9499997745803708,{'runtime': 127},0.9681537441643052,0.9821428656578064,0.9625297229573404,0.000298011873383075,"[140, 170]",0.0009396494715474546,1394,0.9585391811739772,2280.5892413113434
26,honest-sweep-6,encoded1234,resnet18,128.97842860221863,1660558722.6894226,0.061593156307935715,0.0012022644514217973,1.4732757480998004e-08,0.01,1e-05,0.99,119.27843024628235,0.9582977977267793,15,0.9499997745803708,{'runtime': 128},0.9622737454016552,0.9829192757606506,0.960191609597899,0.0014048152370378375,"[140, 170]",0.0017240423476323483,1394,0.9562156619230228,2324.202260574482
27,young-sweep-5,merged,resnet18,202.38830304145813,1660558196.451482,0.04895676299929619,0.0002754228771664202,3.3750797914376862e-09,0.01,1e-05,0.99,188.00904649402943,0.9658263698574836,15,0.9499997745803708,{'runtime': 201},0.9720933380739514,0.9844720363616944,0.9652241891052684,0.0008631379459984601,"[280, 340]",0.0008528208709321916,1394,0.9589572208888008,763.3339427647473
28,genial-sweep-4,single4,resnet18,98.27950763702393,1660557501.1712463,0.08588654547929764,0.0008317637839354575,1.0192577927069927e-08,0.01,1e-05,0.99,91.12130412599072,0.9598838575222504,15,0.9499997745803708,{'runtime': 97},0.9629212343264502,0.9813664555549622,0.9610313072150664,0.0007842787890695035,"[140, 170]",0.0008661929750815034,1394,0.9579939304108668,2303.550103316953
29,rural-sweep-3,single3,resnet18,94.22061419487,1660556947.0823672,0.05495574325323105,0.0010000000474974513,1.225417433194445e-08,0.01,1e-05,0.99,86.93121928581968,0.9600398349942836,15,0.9499997745803708,{'runtime': 93},0.962937542303811,0.9852484464645386,0.962937542303811,0.0006682765088044107,"[140, 170]",0.0018796202493831515,1394,0.9600398349942836,2325.7550629935995
30,mild-sweep-2,single2,resnet18,105.24732279777528,1660556416.0251887,0.08280224353075027,0.0002290867705596611,2.807269090229552e-09,0.01,1e-05,0.99,91.47128330217674,0.9445614485239716,15,0.9499997745803708,{'runtime': 104},0.9476104913007108,0.98369562625885,0.9469437369424472,0.00073477893602103,"[140, 170]",0.0006006988696753979,1394,0.943894694165708,2277.4134668175566
31,earthy-sweep-1,single1,resnet18,105.6609218120575,1660555816.4533708,0.1174994632601738,0.0002290867705596611,2.807269090229552e-09,0.01,1e-05,0.99,87.55357302166522,0.9474708408086304,15,0.9499997745803708,{'runtime': 105},0.950389293242686,0.9743788838386536,0.950389293242686,0.0007948816055431962,"[140, 170]",0.0008186442428268492,1394,0.9474708408086304,2344.1658271166584
